id	filename	md5	size	state
cd90e76c-01ea-4310-be3c-457272cd97a1	9d16a1b7-df78-4ff2-a02c-ebee34477142.wxs.aliquot_ensemble_masked.maf.gz	f3926c612ef853492cb2805230b2f092	47709	released
49e0a151-9f01-4a4a-a5c4-7a30bd921c2b	48de9723-eaaf-4b6b-a07a-3c9ccb1fa3f9.wxs.aliquot_ensemble_masked.maf.gz	60989f8475585b0c4587f9ddbcca1198	11980	released
68a1031a-c401-4354-a69e-cc4fed8d34b5	537c0767-87fa-445d-9fc7-0321c1ecfbe2.wxs.aliquot_ensemble_masked.maf.gz	cc87591e7c3c8f396c1773236bcb9e1c	32628	released
8c83277e-24bb-4a61-83b8-ee1204790600	89c80f92-bef0-4c82-a17d-a8dc65126627.wxs.aliquot_ensemble_masked.maf.gz	6d2ca345b434d5ac7e00daaacdb234a0	11310	released
5c839ecb-e74d-4a8f-b076-ad2766479aa6	0e34b67e-2fce-471d-a216-23955a002a19.wxs.aliquot_ensemble_masked.maf.gz	cf4769d1bc5f616cce07f48a53a5f351	257674	released
fcd27fc6-4752-4943-9b2f-0c93d4abfb08	93ddcfd7-590d-47a9-b568-0527ce4e79d7.wxs.aliquot_ensemble_masked.maf.gz	8d2acf3e6660d3314f2027c6fc4aa273	80044	released
4a247ba9-9b66-45ed-acd4-a267967c8d38	bcbb4fef-6af1-4302-b4c1-ac738321be6f.wxs.aliquot_ensemble_masked.maf.gz	0f9e0eb1e5aee180f3e09ff3d1b665df	9102	released
56b15d05-fccd-4928-9d29-b0474513fdb7	e35e404d-2ab8-4a2e-b31e-db8b80256f10.wxs.aliquot_ensemble_masked.maf.gz	6b172fd9e65c7da34a70eeccf310d256	61021	released
6d9886cf-b87d-4f57-b86c-7476aa9abc8f	685a6bd3-68a0-4e3a-b50d-f1db9498a999.wxs.aliquot_ensemble_masked.maf.gz	626abead38941319ff283bb779702af6	53046	released
6dd69231-e5c6-4a5b-8896-c83e574c5b7b	9c2daed2-870d-4d40-9e40-3b8d258629af.wxs.aliquot_ensemble_masked.maf.gz	fb20515064aa83692dc44e1801f6ec19	607961	released
6ee5599f-7608-467f-a52a-1dbcfa359c08	b342e270-4fa0-4e1c-9325-c23a12c28a87.wxs.aliquot_ensemble_masked.maf.gz	0daeb70e55b6dc8cd1c630b57afa68da	31430	released
93e3ac46-24ad-423b-ae4b-8a1fbefffce9	cbc24848-2468-4b42-af02-c4f62d2d3cb6.wxs.aliquot_ensemble_masked.maf.gz	7a5cc535a4e15d6bfa8ceb97b536426f	60275	released
69153507-0ffb-43c1-a1b3-859ae5b9e018	7655ee5b-81b1-4f49-b53b-824d26df8700.wxs.aliquot_ensemble_masked.maf.gz	a3a7d283714465397789466445a147f0	60603	released
0ae4fd1e-3a94-403f-a552-3560493079c6	45bad2f0-4951-423b-b0b3-1edb3e8b3418.wxs.aliquot_ensemble_masked.maf.gz	b8aff464f7bf6626ec18a9942978b086	43318	released
a5808dd2-76d5-473a-a41a-d9a5020e1581	1c805598-428f-48c4-969b-84b43b7aa7e4.wxs.aliquot_ensemble_masked.maf.gz	e8e57d0806be564f02fb3eb1921ab1be	49623	released
4bee5364-9d14-411f-89ab-70627231df79	ecbe5f80-6e47-4188-98c5-f1c4f3bb82dc.wxs.aliquot_ensemble_masked.maf.gz	1ef5cca87da3381b2edb4a81f1c4a360	38539	released
9e9e67ca-a057-4bbf-9ca0-052323568de8	6a4af7cd-5593-421e-8be2-b5232033b976.wxs.aliquot_ensemble_masked.maf.gz	436481b6a5a75381e68ebc1f9882369c	42622	released
0b8242a3-ff94-4f7d-af59-2bc303dee558	bd6fdef5-ec03-43cb-8610-9dfcb1400082.wxs.aliquot_ensemble_masked.maf.gz	908bc36e9cbb630c1e8a90ca2693697a	56866	released
